label,text
Not Violence,THE PURGE 4 : ESPÍRITO SANTO
Not Violence,"O Ministro da Justiça é patético! Insiste em ignorar o clamor da população! A maioridade penal tem que BAIXAR, Ministro! #ForaDilma #ForaPT"
VeryHight,Policial morre ap\u00f3s ser baleado no Vidigal e \u00e9 o 91\u00ba PM assassinado no RJ https://t.co/jnQI7DHLjb #TirosRJ
VeryHight,"RT @fabiobronzeado: atenção assaltantes no arco metropolitano tentaram assaltar amigos a pouco em enge pedreira , saíram do mato e atiraram"
VeryHight,RT @LeiSecaRJ: Mais alguém informa?? RT @andersonramos1_: Atenção policial baleado na cabeça agora do Jacarezinho intenso tiroteio...
VeryHight,Três agentes da Força Nacional foram baleados ao entrar por engano na Vila do João.
VeryHight,"Entre julho de 2016 e julho de 2017, a cidade do Rio de Janeiro registrou 3.829 tiroteios, uma m\u00e9dia de 10,5 por di\u2026 https://t.co/TdZvyXvK5D"
Not Violence,NÃO É MAIS POR 20 CENTAVOS! #MudaBrasil: http://t.co/62NZ2x49B9 via @youtube
Not Violence,"@_belieberkelly Oi, Kelly. Qual rua?"
Not Violence,O ESPÍRITO SANTO NO PÓS-APOCALIPSE - Ep.909 https://t.co/X1d8HHOsVd via @YouTube
Not Violence,"Por favor, nos ajude! ##ChangeBrazil http://t.co/05xbOV8VuD #Brasil #Protesto #SP"
Not Violence,Alo @ItaboraiPlaza vamos dar o min de segurança a seus clientes @PMERJ @CidadeItaborai @InformeSG @AlertaAssaltoRJ
Not Violence,RT @Felipe_Ab5: Sai de lá da zona sul diz que a ilha é o k.o ��#SOCIALDOSTRAPACEIROS
VeryHight,"E começou o vandalismo. ""Um grupo depreda as bicicletas de aluguel no Largo Zumbi dos Palmares em Porto Alegre #protesto"" @RdGaucha"
Not Violence,VOTA LOGO ESTE CARALHO! #PEC37
Not Violence,"RT @ChaoMendesPage: O dono da @TudoShawn mora ai na zona Norte, eu futuramente estarei morando na Zona Sul. https://t.co/oI1Yd0ge5o"
Not Violence,To com saudades daminha madrinha RJ especial da Rocinha
VeryHight,RT @OGlobo_Rio: Moradores da Rocinha não conseguem sair de casa por causa de tiroteio e perdem prova da Uerj https://t.co/zLX7WHuMFh https:…
VeryHight,"Tiros em Neves, S\u00e3o Gon\u00e7alo (12:17) #TirosRJ"
Not Violence,"RT @AquariusEvil: Testar o queixo é com o Doc mesmo. No BBB saiu com ele ileso, apesar da facada nas costas. Só vem rocinha! ���� https://t.c…"
Not Violence,"Eu moro no morro, ela na zona sul... sou negão e a patricinha é loira do olho azul"
Not Violence,Silva cantando Marisa Monte! ❤ @ Universidade Federal do Espírito Santo (Ufes) https://t.co/qNXmLTgsfh
Not Violence,RT @Psicotwirapia: #Plebiscito não pode deixar de perguntar sobre voto facultativo e voto distrital. #vemprarua #reformapolitica
Not Violence,#AcordaBrasil o Brasil já gastou #33bilhões com a copa a um ano antes do evento - este valor é 4 vezes mais o que outros países gastaram!
